r,g,gerr
0.0025,-1.23999996185303e-08,2.45378168802769e-09
0.0035,-2.17327995300293e-08,3.14034276863211e-09
0.0045000000000000005,-2.58000011444092e-08,3.03716097724503e-09
0.005200000000000001,-2.2699998855590803e-08,3.3045693730046e-09
0.0075,-2.7300001144409198e-08,2.37087489524437e-09
0.0085,-2.15e-08,2.8473590300135997e-09
0.009000000000000001,-1.0799999237060501e-08,3.8914811781634e-09
